title	user_name	user_url	tag	app_url	source_url	rscloud_url	description	slug	contest	contest_year	contest_status	contest_description	add_to_showcase	advocate_agreed	contest_url	user_community	category	requires_api_key	api_description
ScotPHO Profiles Tool	Vicky Elliott, Jaime Villacampa, Zsanett Bahor	NA	health, open data	https://scotland.shinyapps.io/ScotPHO_profiles_tool/	https://github.com/ScotPHO/scotpho-profiles-tool	https://scotland.shinyapps.io/ScotPHO_profiles_tool/	An interactive local area health and wellbeing profiling tool for Scotland.  The app provides users with an assortment of custom interactive visualisations, allowing exploration of temporal and geographical comparisons across a range of indicators of health and wider determinants of health.	scotpho-profiles	yes	2019	Runner up	This app is one of the runners up of the 2019 Shiny Contest. The app was created to help people living and working in Scotland explore how geographical areas have changed over time or how they compare to other areas, across a range of indicators of health and wider determinants of health. The app is pretty complicated, but no more than it has to be with such a sprawling dataset behind it. Each part of the app has a carefully curated set of options that expose lots of power without being totally overwhelming. The context-sensitive Definition button and pervasive Download data/Save chart options are nice touches as well.	Yes	Yes	https://community.rstudio.com/t/25560	victoe	Public Sector	No	NA
Dublin Transport Info	Aidan Boland	http://aboland.ie/	transporation, open data	https://aboland.shinyapps.io/DublinTransport/	https://github.com/aboland/DublinRTPI	https://rstudio.cloud/project/164136	"The current Dublin Bus (Ireland) website and app will only allow you to view information for a single bus stop. This frustrated me into creating this Shiny app.

I can commute home using a number of different bus stops. This Shiny app will collate the information on a number of different bus stops and filter out the relevant buses for the user.
The search query string in the URL can be used to pre-populate the bus stop numbers and buses selected.
"	dublin-transport	yes	2019	NA	NA	Yes	Yes	https://community.rstudio.com/t/25654	aidanb	Public Sector	No	NA
ShinyWYSIWYG: a Shiny What You See Is What You Get editor	Juan Cruz Rodriguez	https://jcrodriguez.rbind.io/	wysiwyg, design, editor, teaching	https://jcrodriguez.shinyapps.io/shinyWYSIWYG/	https://github.com/jcrodriguez1989/shinyWYSIWYG	https://rstudio.cloud/project/179139	ShinyWYSIWYG: visually design, by drag and drop, your Shiny apps. Easily create your app events. Then, ShinyWYSIWYG will automatically deliver the corresponding code so that the app is ready to run!	shiny-wysiwyg	yes	2019	NA	NA	Yes	Yes	https://community.rstudio.com/t/21928	IACCancu	Shiny	No	NA
City Cycle Race (with STRAVA) - Compare the cycling speed of cities	Sebastian Wolf	http://medium.com/@zappingseb	map, cycling, strava	https://sebastianwolf.shinyapps.io/stravachaserapp/	https://github.com/zappingseb/stravachaser	https://rstudio.cloud/project/180441	This shiny app allows to compare how fast people cycle in your city. This app uses data from strava to compare the cyclists in two cities. How is this possible? Strava is a sports tracking app. Basically whenever people cycle they can track themselves using GPS. Afterwards they will know how fast they went on their track. This is not comparable. Though, strava build in a feature called segments. These segments are tracks of any length all around the world. On each of these segments strava the users can have a virtual race. The time they needed for the segment is stored on a leaderboard. The fastest cyclist is the King of the Mountain on this segment. The data is available for everybody having a strava account via the strava API. This package ( + app) includes the data and allows to crawl it by certain features.	city-cycle	yes	2019	NA	NA	Yes	Yes	https://community.rstudio.com/t/25112	zappingseb	Sports	No	NA
Shiny Contest Submission : ShinyAB - Shiny Apps Calculator of Sample Size for AB test	Motoyuki Oki	NA	shinydashboard, plotly, ggplot2, kableextra, power analysis, dashboardthemes	https://okiyuki.shinyapps.io/ShinyAB/	https://github.com/okiyuki99/ShinyAB	https://rstudio.cloud/project/245977	"The application is a calculator of sample size for AB test including the following functions : 
1. informative tables for supporting understanding of statistical Type I and II error 
2. various visualization of control and treatment groups regarding AB Test"	shinyab-sample-size	yes	2019	NA	NA	Yes	Yes	https://community.rstudio.com/t/25675	okiyuki	Research	No	NA
Interactively view and subset phylogenetic trees	Tyler Bradley	https://tbradley1013.github.io/	ggtree, treeio, phylogeny	https://tbradley.shinyapps.io/tree-subset-shiny/	https://github.com/tbradley1013/tree-subset-shiny	https://rstudio.cloud/project/165227	This app allows for users to upload a .tree file (or other common phylogenetic tree file types) and visually explore it. You can leave the tree its full size, or you can subset it by looking at specific branches to easily zoom in on related species.	phylo-tree-view-subset	yes	2019	NA	NA	Yes	Yes	https://community.rstudio.com/t/21226	tbradley	Research	No	NA
Locating Blood Banks in India	Atmajitsinh	https://atmajitgohil.com/	open data, geolocation, map	https://opndt.shinyapps.io/bloodbank_india/	https://github.com/atmajitg/bloodbanks	NA	The main motivation behind this simple shiny application is to make it easier to locate blood banks in India. The app provides additional details on pincodes, addresses, contact person name and number.	india-blood-banks	yes	2019	NA	NA	Yes	Yes	https://community.rstudio.com/t/24873	atmajit	Public Sector	No	NA
Chirp	John Coene	https://chirp.sh/	twitter, rtweet, social media	https://johncoene.shinyapps.io/chirp_demo/	https://github.com/JohnCoene/chirp	https://rstudio.cloud/project/231379	"Visualise Twitter interactions in the form networks. Enter a search or a single keyword and explore how users conversed around the topic with the help of numerous filters and network views.

You can also freely download the app and deploy on your premises."	chirp	yes	2019	NA	NA	Yes	Yes	https://community.rstudio.com/t/24803	JohnCoene	Technology	No	NA
R/Shiny package to learn immune response modeling	Andreas Handel	http://handelgroup.uga.edu/	simulation, modeling, education	https://handelgroup.shinyapps.io/dsairm/	https://github.com/ahgroup/DSAIRM	https://rstudio.cloud/project/239978	DSAIRM is an R package that teach within-host infection dynamics and immune response modeling from a dynamical system perspective. You can explore a variety of simulation models through a graphical user interface, implemented in Shiny. By going through the documentation and instructions of each app, you will learn how models can be used to study within-host and immune response modeling. You can also access and modify all simulations to adapt them to our research needs.	immune-response-modeling	yes	2019	NA	NA	Yes	Yes	https://community.rstudio.com/t/25467	andreashandel	Education	No	NA
Advanced D3 interactive charts with dynamic reports	Jiena Gu McLellan	www.jienamclellan.com	d3	https://appforiarteam.shinyapps.io/Interactive_charts_reports/	https://github.com/jienagu/D3_folded_charts	https://rstudio.cloud/project/233548	Advanced interactive charts with dynamic reports!	d3-dynamic-repot	yes	2019	NA	NA	Yes	Yes	https://community.rstudio.com/t/24737	Jiena	Technology	No	NA
Utah Lake Water Quality Profile Dashboard	Jake	NA	open data, water quality, heatmap, map	https://udwq.shinyapps.io/lakeprofiledashboard/	https://github.com/utah-dwq/LakeProfileDashboard	https://rstudio.cloud/project/204933	This application is designed to interactively visualize lake profile data collected by Utah Division of Water Quality (DWQ) and cooperators and provide a platform for performing and reviewing aquatic life use based water quality assessments from lake profile data.	lake-profile-dashboard	yes	2019	Honorable mention	This app was recognized with an honorable mention on the 2019 Shiny Contest.	NA	NA	NA	NA	NA	NA	NA
Mapping the Geographic Distribution of Twitter Sentiments	Andrew Carr	NA	twitter, rtweet, social media, sentiment	https://bbspring.shinyapps.io/App24/	https://rstudio.cloud/project/258765	https://rstudio.cloud/project/258765	This app provides a way to visualize the geographic distribution of Twitter conversations and their sentiments.   Enter one or more search terms in the Search Terms field.  To perform sentiment analysis, click the Tweet View and Sentiment Analysis checkboxes.	map-twitter-sentiment	yes	2019	NA	NA	Yes	Yes	https://community.rstudio.com/t/25677	bbspring	Technology	No	NA
NCAA Swimming Team Finder for Incoming College Athletes	Greg Pilgrimname	NA	ggplot2, visualization	https://gpilgrim.shinyapps.io/SwimmingProject-Click/	https://github.com/gpilgrim2670/SwimMap	https://rstudio.cloud/project/199532	A look at college swimming programs to help incoming student athletes in selecting schools and programs that would fit them athletically, academically, locationally and financially.  Provides interactive maps and charts to display programs sorted by swimming times/events, US News college rankings, etc.	ncaa-swim-team-finder	yes	2019	NA	NA	Yes	Yes	https://community.rstudio.com/t/25184	gpilgrim	Education	No	NA
Living in the Lego World	Abby Kaplan	https://github.com/kaplanas	tidyverse, ggraph, igraph, highcharter, visNetwork, DataTables, fuzzyjoin, wordnet, treemap	https://kaplanas.shinyapps.io/living_in_the_lego_world/	https://github.com/kaplanas/Shiny-Lego	https://rstudio.cloud/project/245880	This app is a collection of visualizations based on the Lego data available at Rebrickable 2. They address the question: What is it like to live in the Lego world? That is, what kinds of people do you meet? How are they feeling? What plants and animals do you find around you? Think of each theme as an island on the Lego planet. Each visualization can be faceted by theme, so you can compare fashion, flora and fauna, etc. across themes. The human focus of this app distinguishes it from the various other Lego visualizations that already exist (including one built in Shiny; see About in the app for a fuller list).	lego-world	yes	2019	NA	NA	Yes	Yes	https://community.rstudio.com/t/25167	kaplanas	Miscellaneous	Yes	The app stores munged tables in my Dropbox account (for performance); credentials aren't required to run the deployed app, but the login info is not included in the GitHub repo.  I can edit the repo so that it always uses local files if needed, or add instructions for users to use their own Dropbox account.
VISCOVER	Xiaodan Lyu	http://annielyu.com/	webscraping, leaflet, leaflet.extras, maps, spatial, plotly, DataTables	https://lyux.shinyapps.io/viscover/	https://github.com/XiaodanLyu/viscover	https://rstudio.cloud/project/254078	This is a shiny app tool designed for interacting with Cropland Data Layer (CDL) and Soil Data Layer (SDL). CDL is geo-referenced crop-specific land cover data, created annually for the contiguous United States since 2008. SDL contains tabular and spatial soil information available for the United States and the Territories. Unlike the official tools on the USDA website, this app provides a user-friendly interface to interact with public Federal data from different sources and allows users to make cross-reference through the overlay operation. Besides leaflet and plotly, this app mainly relies on my tiny R package viscover on GitHub to query these two public databases with Web Map Service and Web Geo-processing Service. This app can be adapted to visualize other various Federal data where web services are supported and nicely documented, such as Normalized Difference Vegetation Index (NDVI), Vegetation Condition Index (VCI), National Land Cover Data (NLCD), etc.	viscover	yes	2019	NA	NA	Yes	Yes	https://community.rstudio.com/t/25608	annielyu	Public Sector	No	NA
ctmmweb, a web app to analysis Animal tracking data	Xianghui Dong	https://dracodoc.github.io	visualization, analysis, interactive, reproducible	https://tiny.cc/ctmmweb	https://github.com/ctmm-initiative/ctmmweb/	https://rstudio.cloud/project/196548	ctmmweb is built on ctmm, an R package for analyzing animal tracking data as a continuous-time stochastic processes. The web app provided a streamlined workflow so general users can upload their own data and get sophisticated analyses result in an interactive interface.	animal-tracking	yes	2019	Honorable mention	This app was recognized with an honorable mention on the 2019 Shiny Contest.	Yes	Yes	https://community.rstudio.com/t/22892	dracodoc	Research	No	NA
Voronoys - Understanding voters' profile in Brazilian elections	Douglas Mesquita	https://require-r.com	visualization, spatial, leaflet, plotly	https://voronoys.shinyapps.io/voronoys/	https://github.com/voronoys/voronoys_sc	https://rstudio.cloud/project/255741	This tool provides access to usual charts, maps and an innovative way to investigate voters' profile in Brazilian elections.	brazil-voter-profile	yes	2019	Honorable mention	This app was recognized with an honorable mention on the 2019 Shiny Contest.	Yes	Yes	https://community.rstudio.com/t/25586	douglas-mesquita	Public Sector	No	NA
Impact Replays: Relive the Best Moments of the CFL	Dean Attali	https://deanattali.com/	sports, visualization	https://daattali.com/shiny/cfl/	https://github.com/daattali/shiny-server/tree/master/cfl	https://rstudio.cloud/project/220158	Using play-by-play data, visualize the progression of Canadian Football League matches by showing the passes, rushes, and touchdowns. This shiny app (which doesn't look like one!) was the winner of the 2015 Canada Sports Hackathon.	impact-replay-cfl	yes	2019	Honorable mention	This app was recognized with an honorable mention on the 2019 Shiny Contest.	Yes	Yes	https://community.rstudio.com/t/24001	daattali	Sports	No	NA
Didactic modeling process: Linear regression	Oscar Daniel Rivera Baena	NA	teaching, regression, modeling, regression	https://danielrivera1.shinyapps.io/Regression2/	https://github.com/RiveraDaniel/Regression	https://rstudio.cloud/project/249309	This application constitutes a didactic modeling process. The user can try to perform a linear regression model based on the ordinary least squares method, step by step (learning environment). The application addresses an actual safety problem in the rural areas of Antioquia - Colombia.	didacting-modeling	yes	2019	NA	NA	NA	NA	NA	NA	NA	NA	NA
A lyrical analysis of '69 Love Songs' by Magnetic Fields	David Smale	https://davidsmale.netlify.com/portfolio/	ggplot2, tidyverse, tidytext, visNetwork, tidygraph, wordcloud	https://committedtotape.shinyapps.io/sixtyninelovesongs/	https://rstudio.cloud/project/245439	https://rstudio.cloud/project/245439	Exploring the lyrics to the three-volume album, '69 Love Songs', by The Magnetic Fields. The album was conceived and written by frontman, Stephin Merritt, but what does Stephin sing about when he sings about love (songs)? You can find out more about the app [on this blog post](https://davidsmale.netlify.com/portfolio/69-love-songs).	magnetic-fields	yes	2019	Winner	69 Love Songs is the winner of the Best Design award of the 2019 Shiny Contest. We fell in love with the look of this app, and really appreciated that the font and colours used in the app have been chosen to match the album artwork. You don't have to be a fan of the Magnetic Fields to appreciate the care and attention to detail that went into each panel!	Yes	Yes	https://community.rstudio.com/t/25202	committedtotape	Miscellaneous	No	NA
ubeRideR	Vivek Katial	https://vivekkatial.netlify.com	htmltemplates, leaflet, maps	https://vivekkatial.shinyapps.io/uber_shiny	https://github.com/vivekkatial/uber_shiny	https://rstudio.cloud/project/258358	This is a shiny app I have developed which showcases how to make Shiny apps look nice using HTMLTemplates. The app itself explores my uber data.	uber-rider	yes	2019	Honorable mention	This app was recognized with an honorable mention on the 2019 Shiny Contest.	Yes	Yes	https://community.rstudio.com/t/25639	vivekkatial	Technology	No	NA
Radiant - A shiny app for statistics and machine learning	Vincent Nijs	https://radiant-rstats.github.io/docs/	statistics, machine learning, business intelligence	https://vnijs.shinyapps.io/radiant	https://github.com/radiant-rstats	https://rstudio.cloud/project/246357	Radiant is an R package for statistics and machine learning with a Shiny user interface	radiant	yes	2019	NA	NA	NA	NA	NA	NA	NA	NA	NA
A bus company simulation game	Marcus Young	www.marcusyoung.co.uk	teaching	https://marcus.shinyapps.io/bus_simulator	https://github.com/marcusyoung/beat_the_trend	https://rstudio.cloud/project/186915	A bus company simulation game to help teach students about elasticties. You must decide what management action to take at the beginning of each year, in order to continue running a good bus service.	bus-company-simulation	yes	2019	NA	NA	Yes	Yes	https://community.rstudio.com/t/24067	marcusy	Miscellaneous	No	NA
Visualizing Biodiversity in National Parks data	Alessio Benedetti	https://alessiobenedetti.com/	leaflet, shinydashboard, visualization	https://abenedetti.shinyapps.io/bioNPS/	https://github.com/abenedetti/bioNPS/	https://rstudio.cloud/project/246130	Biodiversity in National Parks is an app that let you visualize Kaggle's biodiversity dataset. By using the National Park Service database of animal and plant species, the application offers a graphical representation of the data with maps and charts.	biodiversity-national-parks	yes	2019	NA	NA	Yes	Yes	https://community.rstudio.com/t/25204	alessio	Research	No	NA
iSEE	Kevin Rue	https://kevinrue.github.io	bioconductor, visualization, s4, reproducible, packages, shinydashboard, ggplot2, shinyjs, htmltools	https://kevinrue.shinyapps.io/isee-shiny-contest/	https://github.com/kevinrue/isee-shiny-contest	https://rstudio.cloud/project/230765	iSEE (interactive SummarizedExperiment Explorer) is designed for interactive exploration of high-throughput biological data sets.	isee	yes	2019	Winner	iSEE is winner of the Most Technically Impressive award of the 2019 Shiny Contest. The deeper we dove into this app, the more impressed we were at its feature set. The data-visual-selection controls in each panel were well presented, and the dynamic, directional crosslinking feature is something we haven't seen before. And it can even generate a reproducible R script!	Yes	Yes	https://community.rstudio.com/t/25136	kevinrue	Research	No	NA
The Masters	Chris	https://www.cteeter.ca/	visualization, tidyverse, golf	https://cjteeter.shinyapps.io/MastersGolf/	https://github.com/cjteeter/ShinyTeeter/tree/master/3_MastersGolf	https://rstudio.cloud/project/256137	The app offers users a tool to explore and visualize the history of The Masters golf tournament. Among other things, you can see whether scores have changed over time, play with aggregated historical leaderboards, and review players' scoring averages.	masters	yes	2019	NA	NA	Yes	Yes	https://community.rstudio.com/t/25525	teetercj	Sports	No	NA
Career PathFinder	George	NA	human resources, career, government, visNetwork, DT	https://geom.shinyapps.io/careerpathfinder-beta/	https://github.com/georgemirandajr/career-pathfinder	https://rstudio.cloud/project/251957	Explore historical career choices at LA County and build your own path towards your goals.	career-pathfinder	yes	2019	Honorable mention	This app was recognized with an honorable mention on the 2019 Shiny Contest.	Yes	Yes	https://community.rstudio.com/t/25371	georgemirandajr	Consulting	No	NA
MOTE: An Effect Size Calculator	Erin Buchanan	https://www.aggieerin.com/	effect size, confidence interval, statistics	https://doomlab.shinyapps.io/mote/	https://github.com/doomlab/shiny-server/tree/master/MOTE	https://rstudio.cloud/project/255262	Check out MOTE: Measure of the Effect - a Shiny App to calculate many effect sizes and their confidence intervals. Tutorials for integrating with statistical programs such as JASP, SPSS, and R are integrated into the app!	mote-effect-size	yes	2019	NA	NA	Yes	Yes	https://community.rstudio.com/t/25480	doomlab	Research	No	NA
Visualisation of soil profiles	Gabrielname	NA	soil, visualisation, sf, ggplot2	https://nardus.shinyapps.io/soilprofile/	https://github.com/nardusstricta/soilprofile_app	https://rstudio.cloud/project/248517	A Shiny App to provides the graphical representation of soil horizons, in the simplest case the color. The app offers a graphical user interface for the package soilprofile2. The focus is on morphological properties such as horizon transitions, texture, structure, root density, and rock content.  In addition, soil-forming processes such as hydromorphic soils characteristics can also be displayed.	soil-profiles	yes	2019	NA	NA	Yes	Yes	https://community.rstudio.com/t/25229	Gabriel_Holz	Public Sector	No	NA
Pasture Potential Tool for improving dairy farm profitability and environmental impact	Simon Woodward	https://www.dairynz.co.nz/feed/pasture-management/assessing-farm-performance/pasture-and-crop-eaten/pasture-potential-tool/	leaflet, map, quantile regression, agriculture, environment	https://www.dairynz.co.nz/feed/pasture-management/assessing-farm-performance/pasture-and-crop-eaten/pasture-potential-tool/	https://rstudio.cloud/project/215333	https://rstudio.cloud/project/215333	The Pasture Potential Tool shows dairy farmers the amount of pasture eaten on comparable farms in their district, and provides them with a target to improve their profitability and environmental footprint.	dairy-farms	yes	2019	NA	NA	Yes	Yes	https://community.rstudio.com/t/23849	woodward	Public Sector	Yes	Valid Google Map API key in text file google.api
Animated NYC metro traffic	Tiger Tang	https://twitter.com/tigerloveslobs1	leaflet, async, caching, promises	https://tiger-tang.shinyapps.io/NYC_MTA/	https://github.com/CodingTigerTang/NYC_Metro_Vis	https://rstudio.cloud/project/259682	Wonder what one week of metro traffic would look like? Wanna see the heaviest/lightest traffic times for your NYC metro stops? Check out this app below.	nyc-metro	yes	2019	Honorable mention	This app was recognized with an honorable mention on the 2019 Shiny Contest.	Yes	Yes	https://community.rstudio.com/t/25747	TigeR	Public Sector	No	NA
Hex Memory Game	Victor Perrier	https://github.com/dreamRs	game, memory	https://dreamrs.shinyapps.io/memory-hex/	https://github.com/dreamRs/memory-hex	https://rstudio.cloud/project/250892	A memory game in Shiny to find matching Hex!	hex-memory	yes	2019	Winner	"Hex Memory Game is the winner of the Most Fun award of the 2019 Shiny Contest. A brave handful of people have built small games in Shiny. It's always impressive to us when people pull that off at all, but we haven't seen one that works as well as this one. Not only that, but the code is super clean and easy to reason about.
"	Yes	Yes	https://community.rstudio.com/t/25336	pvictor	Miscellaneous	No	NA
Drag-and-drop U.S. mapmaker	Aleszu Bajak	https://twitter.com/aleszubajak	ggplot2, visualization	https://storybench.shinyapps.io/mapmaker/	https://github.com/aleszu/textanalysis-shiny/tree/master/mapmaker	https://rstudio.cloud/project/256681	A Shiny app allowing users to upload a CSV file with latitude and longitude coordinates to create and customize a U.S. map of point data. Users can modify points shape, size and color, as well as font type and size.	drag-drop-map-maker	yes	2019	NA	NA	Yes	Yes	https://community.rstudio.com/t/25575	nusoj	Shiny	No	NA
R&D Business Game	Paul Simmering	https://www.linkedin.com/in/paulsimmering/	game, ggplot2, dplyr, ggiraph	https://psim.shinyapps.io/business_game/	https://github.com/psimm/businessgame	https://rstudio.cloud/project/246098	A business game where the player is the CEO of a tech company. Two companies use innovation & imitation strategies to compete, impress consumers and maximize profit.	rd-business-game	yes	2019	NA	NA	Yes	Yes	https://community.rstudio.com/t/25177	PSimmering	Education	No	NA
Gotta Catch' Em (Almost) All	David Granjon	https://divadnojnarg.github.io	pokemon, dashboard, network	https://dgranjon.shinyapps.io/shinyMons/	https://github.com/DivadNojnarg/shinyMons	https://rstudio.cloud/project/255837	This app is a showcase for the tablerDash package, a bootstrap 4 dashboard template for shiny. Explore the 151 first pokemons from the Green, Red and Blue versions, respectively (#pokeApi). It also includes a preliminary fighting system implemented in R and shiny modules.	pokemon-explorer	yes	2019	NA	NA	Yes	Yes	https://community.rstudio.com/t/shiny-contest-submission-gotta-catch-em-almost-all/25284/5	DGranjon	Miscellaneous	No	NA
A/B Testing Sample Size Calculator	Tim Wilsonname	NA	ggplot2,calculator	https://www.searchdiscovery.com/sample-size-calculator/	https://github.com/gilliganondata/sample-size-calculator-1/	https://rstudio.cloud/project/231301	An A/B test sample size calculator that enables the test planner to input different values as part of the planning process and then visualize the impact on the test duration and the likelihood of a Type I or Type II error as a means of providing business users who do not have a strong statistical background a degree of intuition regarding the different levers they can pull in their test design.	ab-test-sample-size	yes	2019	NA	NA	Yes	Yes	https://community.rstudio.com/t/24636	timwilson7	Research	No	NA
